name,type,subtype,variable,outcome,notes
V0357,individual,labour,Occupation (NZSCO99 major group) for the employed census usually resident population count aged 15 years and over,Elementary Occupations (incl Residuals),"New Zealand Standard Classification of Occupations (NZSCO99 V2.0). This occupation classification has five levels. Level one is called major group and is the least detailed (nine categories).;

A person's occupation in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

See definition of census usually resident population count;

Consists of labourers and related elementary service workers response unidentifiable response outside scope and not stated."
V0358,individual,labour,Occupation (NZSCO99 major group) for the employed census usually resident population count aged 15 years and over,Total people,"New Zealand Standard Classification of Occupations (NZSCO99 V2.0). This occupation classification has five levels. Level one is called major group and is the least detailed (nine categories).;

A person's occupation in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

See definition of census usually resident population count;

A 'Total people stated' figure cannot be calculated for this occupation variable as the residuals are in a category together with valid occupations."
V0359,individual,labour,Occupation (NZSCO99 major group) for workplace address for the employed census usually resident population count aged 15 years and over,Legislators Administrators and Managers,"New Zealand Standard Classification of Occupations (NZSCO99 V2.0). This occupation classification has five levels. Level one is called major group and is the least detailed (nine categories).;

A person's occupation in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

Caution is advised when using 'workplace address' at area unit and meshblock level where these occur in water based areas (such as inlets). Where respondents have not provided sufficient information to code accurately at meshblock level some responses have been coded to water based areas;

Workplace address is coded from information supplied by respondents about their workplaces. Where respondents do not supply sufficient information their responses are coded to 'not further defined'. The meshblock dataset excludes these not further defined areas.;

See definition of census usually resident population count"
V0360,individual,labour,Occupation (NZSCO99 major group) for workplace address for the employed census usually resident population count aged 15 years and over,Professionals,"New Zealand Standard Classification of Occupations (NZSCO99 V2.0). This occupation classification has five levels. Level one is called major group and is the least detailed (nine categories).;

A person's occupation in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

Caution is advised when using 'workplace address' at area unit and meshblock level where these occur in water based areas (such as inlets). Where respondents have not provided sufficient information to code accurately at meshblock level some responses have been coded to water based areas;

Workplace address is coded from information supplied by respondents about their workplaces. Where respondents do not supply sufficient information their responses are coded to 'not further defined'. The meshblock dataset excludes these not further defined areas.;

See definition of census usually resident population count"
V0361,individual,labour,Occupation (NZSCO99 major group) for workplace address for the employed census usually resident population count aged 15 years and over,Technicians and Associate Professionals,"New Zealand Standard Classification of Occupations (NZSCO99 V2.0). This occupation classification has five levels. Level one is called major group and is the least detailed (nine categories).;

A person's occupation in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

Caution is advised when using 'workplace address' at area unit and meshblock level where these occur in water based areas (such as inlets). Where respondents have not provided sufficient information to code accurately at meshblock level some responses have been coded to water based areas;

Workplace address is coded from information supplied by respondents about their workplaces. Where respondents do not supply sufficient information their responses are coded to 'not further defined'. The meshblock dataset excludes these not further defined areas.;

See definition of census usually resident population count"
V0362,individual,labour,Occupation (NZSCO99 major group) for workplace address for the employed census usually resident population count aged 15 years and over,Clerks,"New Zealand Standard Classification of Occupations (NZSCO99 V2.0). This occupation classification has five levels. Level one is called major group and is the least detailed (nine categories).;

A person's occupation in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

Caution is advised when using 'workplace address' at area unit and meshblock level where these occur in water based areas (such as inlets). Where respondents have not provided sufficient information to code accurately at meshblock level some responses have been coded to water based areas;

Workplace address is coded from information supplied by respondents about their workplaces. Where respondents do not supply sufficient information their responses are coded to 'not further defined'. The meshblock dataset excludes these not further defined areas.;

See definition of census usually resident population count"
V0363,individual,labour,Occupation (NZSCO99 major group) for workplace address for the employed census usually resident population count aged 15 years and over,Service and Sales Workers,"New Zealand Standard Classification of Occupations (NZSCO99 V2.0). This occupation classification has five levels. Level one is called major group and is the least detailed (nine categories).;

A person's occupation in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

Caution is advised when using 'workplace address' at area unit and meshblock level where these occur in water based areas (such as inlets). Where respondents have not provided sufficient information to code accurately at meshblock level some responses have been coded to water based areas;

Workplace address is coded from information supplied by respondents about their workplaces. Where respondents do not supply sufficient information their responses are coded to 'not further defined'. The meshblock dataset excludes these not further defined areas.;

See definition of census usually resident population count"
V0364,individual,labour,Occupation (NZSCO99 major group) for workplace address for the employed census usually resident population count aged 15 years and over,Agriculture and Fishery Workers,"New Zealand Standard Classification of Occupations (NZSCO99 V2.0). This occupation classification has five levels. Level one is called major group and is the least detailed (nine categories).;

A person's occupation in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

Caution is advised when using 'workplace address' at area unit and meshblock level where these occur in water based areas (such as inlets). Where respondents have not provided sufficient information to code accurately at meshblock level some responses have been coded to water based areas;

Workplace address is coded from information supplied by respondents about their workplaces. Where respondents do not supply sufficient information their responses are coded to 'not further defined'. The meshblock dataset excludes these not further defined areas.;

See definition of census usually resident population count"
V0365,individual,labour,Occupation (NZSCO99 major group) for workplace address for the employed census usually resident population count aged 15 years and over,Trades Workers,"New Zealand Standard Classification of Occupations (NZSCO99 V2.0). This occupation classification has five levels. Level one is called major group and is the least detailed (nine categories).;

A person's occupation in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

Caution is advised when using 'workplace address' at area unit and meshblock level where these occur in water based areas (such as inlets). Where respondents have not provided sufficient information to code accurately at meshblock level some responses have been coded to water based areas;

Workplace address is coded from information supplied by respondents about their workplaces. Where respondents do not supply sufficient information their responses are coded to 'not further defined'. The meshblock dataset excludes these not further defined areas.;

See definition of census usually resident population count"
V0366,individual,labour,Occupation (NZSCO99 major group) for workplace address for the employed census usually resident population count aged 15 years and over,Plant and Machine Operators and Assemblers,"New Zealand Standard Classification of Occupations (NZSCO99 V2.0). This occupation classification has five levels. Level one is called major group and is the least detailed (nine categories).;

A person's occupation in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

Caution is advised when using 'workplace address' at area unit and meshblock level where these occur in water based areas (such as inlets). Where respondents have not provided sufficient information to code accurately at meshblock level some responses have been coded to water based areas;

Workplace address is coded from information supplied by respondents about their workplaces. Where respondents do not supply sufficient information their responses are coded to 'not further defined'. The meshblock dataset excludes these not further defined areas.;

See definition of census usually resident population count"
V0367,individual,labour,Occupation (NZSCO99 major group) for workplace address for the employed census usually resident population count aged 15 years and over,Elementary Occupations (incl Residuals),"New Zealand Standard Classification of Occupations (NZSCO99 V2.0). This occupation classification has five levels. Level one is called major group and is the least detailed (nine categories).;

A person's occupation in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

Caution is advised when using 'workplace address' at area unit and meshblock level where these occur in water based areas (such as inlets). Where respondents have not provided sufficient information to code accurately at meshblock level some responses have been coded to water based areas;

Workplace address is coded from information supplied by respondents about their workplaces. Where respondents do not supply sufficient information their responses are coded to 'not further defined'. The meshblock dataset excludes these not further defined areas.;

See definition of census usually resident population count;

Consists of labourers and related elementary service workers response unidentifiable response outside scope and not stated."
V0368,individual,labour,Occupation (NZSCO99 major group) for workplace address for the employed census usually resident population count aged 15 years and over,Total people,"New Zealand Standard Classification of Occupations (NZSCO99 V2.0). This occupation classification has five levels. Level one is called major group and is the least detailed (nine categories).;

A person's occupation in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

Caution is advised when using 'workplace address' at area unit and meshblock level where these occur in water based areas (such as inlets). Where respondents have not provided sufficient information to code accurately at meshblock level some responses have been coded to water based areas;

Workplace address is coded from information supplied by respondents about their workplaces. Where respondents do not supply sufficient information their responses are coded to 'not further defined'. The meshblock dataset excludes these not further defined areas.;

See definition of census usually resident population count;

A 'Total people stated' figure cannot be calculated for this occupation variable as the residuals are in a category together with valid occupations."
V0369,individual,labour,Industry (ANZSIC96 division) for the employed census usually resident population count aged 15 years and over,Agriculture Forestry and Fishing,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

See definition of census usually resident population count"
V0370,individual,labour,Industry (ANZSIC96 division) for the employed census usually resident population count aged 15 years and over,Mining,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

See definition of census usually resident population count"
V0371,individual,labour,Industry (ANZSIC96 division) for the employed census usually resident population count aged 15 years and over,Manufacturing,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

See definition of census usually resident population count"
V0372,individual,labour,Industry (ANZSIC96 division) for the employed census usually resident population count aged 15 years and over,Electricity Gas and Water Supply,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

See definition of census usually resident population count"
V0373,individual,labour,Industry (ANZSIC96 division) for the employed census usually resident population count aged 15 years and over,Construction,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

See definition of census usually resident population count"
V0374,individual,labour,Industry (ANZSIC96 division) for the employed census usually resident population count aged 15 years and over,Wholesale Trade,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

See definition of census usually resident population count"
V0375,individual,labour,Industry (ANZSIC96 division) for the employed census usually resident population count aged 15 years and over,Retail Trade,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

See definition of census usually resident population count"
V0376,individual,labour,Industry (ANZSIC96 division) for the employed census usually resident population count aged 15 years and over,Accommodation Cafes and Restaurants,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

See definition of census usually resident population count"
V0377,individual,labour,Industry (ANZSIC96 division) for the employed census usually resident population count aged 15 years and over,Transport and Storage,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

See definition of census usually resident population count"
V0378,individual,labour,Industry (ANZSIC96 division) for the employed census usually resident population count aged 15 years and over,Communication Services,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

See definition of census usually resident population count"
V0379,individual,labour,Industry (ANZSIC96 division) for the employed census usually resident population count aged 15 years and over,Finance and Insurance,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

See definition of census usually resident population count"
V0380,individual,labour,Industry (ANZSIC96 division) for the employed census usually resident population count aged 15 years and over,Property and Business Services,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

See definition of census usually resident population count"
V0381,individual,labour,Industry (ANZSIC96 division) for the employed census usually resident population count aged 15 years and over,Government Administration and Defence,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

See definition of census usually resident population count"
V0382,individual,labour,Industry (ANZSIC96 division) for the employed census usually resident population count aged 15 years and over,Education,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

See definition of census usually resident population count"
V0383,individual,labour,Industry (ANZSIC96 division) for the employed census usually resident population count aged 15 years and over,Health and Community Services,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

See definition of census usually resident population count"
V0384,individual,labour,Industry (ANZSIC96 division) for the employed census usually resident population count aged 15 years and over,Cultural and Recreational Services,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

See definition of census usually resident population count"
V0385,individual,labour,Industry (ANZSIC96 division) for the employed census usually resident population count aged 15 years and over,Personal and Other Services,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

See definition of census usually resident population count"
V0386,individual,labour,Industry (ANZSIC96 division) for the employed census usually resident population count aged 15 years and over,Total people stated,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

See definition of census usually resident population count"
V0387,individual,labour,Industry (ANZSIC96 division) for the employed census usually resident population count aged 15 years and over,Not Elsewhere Included,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

See definition of census usually resident population count;

Consists of don't know refused to answer response unidentifiable response outside scope and not stated."
V0388,individual,labour,Industry (ANZSIC96 division) for the employed census usually resident population count aged 15 years and over,Total people,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

See definition of census usually resident population count"
V0389,individual,labour,Industry (ANZSIC96 division) for workplace address for the employed census usually resident population count aged 15 years and over,Agriculture Forestry and Fishing,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

Caution is advised when using 'workplace address' at area unit and meshblock level where these occur in water based areas (such as inlets). Where respondents have not provided sufficient information to code accurately at meshblock level some responses have been coded to water based areas;

Workplace address is coded from information supplied by respondents about their workplaces. Where respondents do not supply sufficient information their responses are coded to 'not further defined'. The meshblock dataset excludes these not further defined areas.;

See definition of census usually resident population count"
V0390,individual,labour,Industry (ANZSIC96 division) for workplace address for the employed census usually resident population count aged 15 years and over,Mining,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

Caution is advised when using 'workplace address' at area unit and meshblock level where these occur in water based areas (such as inlets). Where respondents have not provided sufficient information to code accurately at meshblock level some responses have been coded to water based areas;

Workplace address is coded from information supplied by respondents about their workplaces. Where respondents do not supply sufficient information their responses are coded to 'not further defined'. The meshblock dataset excludes these not further defined areas.;

See definition of census usually resident population count"
V0391,individual,labour,Industry (ANZSIC96 division) for workplace address for the employed census usually resident population count aged 15 years and over,Manufacturing,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

Caution is advised when using 'workplace address' at area unit and meshblock level where these occur in water based areas (such as inlets). Where respondents have not provided sufficient information to code accurately at meshblock level some responses have been coded to water based areas;

Workplace address is coded from information supplied by respondents about their workplaces. Where respondents do not supply sufficient information their responses are coded to 'not further defined'. The meshblock dataset excludes these not further defined areas.;

See definition of census usually resident population count"
V0392,individual,labour,Industry (ANZSIC96 division) for workplace address for the employed census usually resident population count aged 15 years and over,Electricity Gas and Water Supply,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

Caution is advised when using 'workplace address' at area unit and meshblock level where these occur in water based areas (such as inlets). Where respondents have not provided sufficient information to code accurately at meshblock level some responses have been coded to water based areas;

Workplace address is coded from information supplied by respondents about their workplaces. Where respondents do not supply sufficient information their responses are coded to 'not further defined'. The meshblock dataset excludes these not further defined areas.;

See definition of census usually resident population count"
V0393,individual,labour,Industry (ANZSIC96 division) for workplace address for the employed census usually resident population count aged 15 years and over,Construction,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

Caution is advised when using 'workplace address' at area unit and meshblock level where these occur in water based areas (such as inlets). Where respondents have not provided sufficient information to code accurately at meshblock level some responses have been coded to water based areas;

Workplace address is coded from information supplied by respondents about their workplaces. Where respondents do not supply sufficient information their responses are coded to 'not further defined'. The meshblock dataset excludes these not further defined areas.;

See definition of census usually resident population count"
V0394,individual,labour,Industry (ANZSIC96 division) for workplace address for the employed census usually resident population count aged 15 years and over,Wholesale Trade,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

Caution is advised when using 'workplace address' at area unit and meshblock level where these occur in water based areas (such as inlets). Where respondents have not provided sufficient information to code accurately at meshblock level some responses have been coded to water based areas;

Workplace address is coded from information supplied by respondents about their workplaces. Where respondents do not supply sufficient information their responses are coded to 'not further defined'. The meshblock dataset excludes these not further defined areas.;

See definition of census usually resident population count"
V0395,individual,labour,Industry (ANZSIC96 division) for workplace address for the employed census usually resident population count aged 15 years and over,Retail Trade,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

Caution is advised when using 'workplace address' at area unit and meshblock level where these occur in water based areas (such as inlets). Where respondents have not provided sufficient information to code accurately at meshblock level some responses have been coded to water based areas;

Workplace address is coded from information supplied by respondents about their workplaces. Where respondents do not supply sufficient information their responses are coded to 'not further defined'. The meshblock dataset excludes these not further defined areas.;

See definition of census usually resident population count"
V0396,individual,labour,Industry (ANZSIC96 division) for workplace address for the employed census usually resident population count aged 15 years and over,Accommodation Cafes and Restaurants,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

Caution is advised when using 'workplace address' at area unit and meshblock level where these occur in water based areas (such as inlets). Where respondents have not provided sufficient information to code accurately at meshblock level some responses have been coded to water based areas;

Workplace address is coded from information supplied by respondents about their workplaces. Where respondents do not supply sufficient information their responses are coded to 'not further defined'. The meshblock dataset excludes these not further defined areas.;

See definition of census usually resident population count"
V0397,individual,labour,Industry (ANZSIC96 division) for workplace address for the employed census usually resident population count aged 15 years and over,Transport and Storage,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

Caution is advised when using 'workplace address' at area unit and meshblock level where these occur in water based areas (such as inlets). Where respondents have not provided sufficient information to code accurately at meshblock level some responses have been coded to water based areas;

Workplace address is coded from information supplied by respondents about their workplaces. Where respondents do not supply sufficient information their responses are coded to 'not further defined'. The meshblock dataset excludes these not further defined areas.;

See definition of census usually resident population count"
V0398,individual,labour,Industry (ANZSIC96 division) for workplace address for the employed census usually resident population count aged 15 years and over,Communication Services,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

Caution is advised when using 'workplace address' at area unit and meshblock level where these occur in water based areas (such as inlets). Where respondents have not provided sufficient information to code accurately at meshblock level some responses have been coded to water based areas;

Workplace address is coded from information supplied by respondents about their workplaces. Where respondents do not supply sufficient information their responses are coded to 'not further defined'. The meshblock dataset excludes these not further defined areas.;

See definition of census usually resident population count"
V0399,individual,labour,Industry (ANZSIC96 division) for workplace address for the employed census usually resident population count aged 15 years and over,Finance and Insurance,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

Caution is advised when using 'workplace address' at area unit and meshblock level where these occur in water based areas (such as inlets). Where respondents have not provided sufficient information to code accurately at meshblock level some responses have been coded to water based areas;

Workplace address is coded from information supplied by respondents about their workplaces. Where respondents do not supply sufficient information their responses are coded to 'not further defined'. The meshblock dataset excludes these not further defined areas.;

See definition of census usually resident population count"
V0400,individual,labour,Industry (ANZSIC96 division) for workplace address for the employed census usually resident population count aged 15 years and over,Property and Business Services,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

Caution is advised when using 'workplace address' at area unit and meshblock level where these occur in water based areas (such as inlets). Where respondents have not provided sufficient information to code accurately at meshblock level some responses have been coded to water based areas;

Workplace address is coded from information supplied by respondents about their workplaces. Where respondents do not supply sufficient information their responses are coded to 'not further defined'. The meshblock dataset excludes these not further defined areas.;

See definition of census usually resident population count"
V0401,individual,labour,Industry (ANZSIC96 division) for workplace address for the employed census usually resident population count aged 15 years and over,Government Administration and Defence,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

Caution is advised when using 'workplace address' at area unit and meshblock level where these occur in water based areas (such as inlets). Where respondents have not provided sufficient information to code accurately at meshblock level some responses have been coded to water based areas;

Workplace address is coded from information supplied by respondents about their workplaces. Where respondents do not supply sufficient information their responses are coded to 'not further defined'. The meshblock dataset excludes these not further defined areas.;

See definition of census usually resident population count"
V0402,individual,labour,Industry (ANZSIC96 division) for workplace address for the employed census usually resident population count aged 15 years and over,Education,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

Caution is advised when using 'workplace address' at area unit and meshblock level where these occur in water based areas (such as inlets). Where respondents have not provided sufficient information to code accurately at meshblock level some responses have been coded to water based areas;

Workplace address is coded from information supplied by respondents about their workplaces. Where respondents do not supply sufficient information their responses are coded to 'not further defined'. The meshblock dataset excludes these not further defined areas.;

See definition of census usually resident population count"
V0403,individual,labour,Industry (ANZSIC96 division) for workplace address for the employed census usually resident population count aged 15 years and over,Health and Community Services,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

Caution is advised when using 'workplace address' at area unit and meshblock level where these occur in water based areas (such as inlets). Where respondents have not provided sufficient information to code accurately at meshblock level some responses have been coded to water based areas;

Workplace address is coded from information supplied by respondents about their workplaces. Where respondents do not supply sufficient information their responses are coded to 'not further defined'. The meshblock dataset excludes these not further defined areas.;

See definition of census usually resident population count"
V0404,individual,labour,Industry (ANZSIC96 division) for workplace address for the employed census usually resident population count aged 15 years and over,Cultural and Recreational Services,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

Caution is advised when using 'workplace address' at area unit and meshblock level where these occur in water based areas (such as inlets). Where respondents have not provided sufficient information to code accurately at meshblock level some responses have been coded to water based areas;

Workplace address is coded from information supplied by respondents about their workplaces. Where respondents do not supply sufficient information their responses are coded to 'not further defined'. The meshblock dataset excludes these not further defined areas.;

See definition of census usually resident population count"
V0405,individual,labour,Industry (ANZSIC96 division) for workplace address for the employed census usually resident population count aged 15 years and over,Personal and Other Services,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

Caution is advised when using 'workplace address' at area unit and meshblock level where these occur in water based areas (such as inlets). Where respondents have not provided sufficient information to code accurately at meshblock level some responses have been coded to water based areas;

Workplace address is coded from information supplied by respondents about their workplaces. Where respondents do not supply sufficient information their responses are coded to 'not further defined'. The meshblock dataset excludes these not further defined areas.;

See definition of census usually resident population count"
V0406,individual,labour,Industry (ANZSIC96 division) for workplace address for the employed census usually resident population count aged 15 years and over,Total people stated,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

Caution is advised when using 'workplace address' at area unit and meshblock level where these occur in water based areas (such as inlets). Where respondents have not provided sufficient information to code accurately at meshblock level some responses have been coded to water based areas;

Workplace address is coded from information supplied by respondents about their workplaces. Where respondents do not supply sufficient information their responses are coded to 'not further defined'. The meshblock dataset excludes these not further defined areas.;

See definition of census usually resident population count"
V0407,individual,labour,Industry (ANZSIC96 division) for workplace address for the employed census usually resident population count aged 15 years and over,Not Elsewhere Included,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

Caution is advised when using 'workplace address' at area unit and meshblock level where these occur in water based areas (such as inlets). Where respondents have not provided sufficient information to code accurately at meshblock level some responses have been coded to water based areas;

Workplace address is coded from information supplied by respondents about their workplaces. Where respondents do not supply sufficient information their responses are coded to 'not further defined'. The meshblock dataset excludes these not further defined areas.;

See definition of census usually resident population count;

Consists of don't know refused to answer response unidentifiable response outside scope and not stated."
V0408,individual,labour,Industry (ANZSIC96 division) for workplace address for the employed census usually resident population count aged 15 years and over,Total people,"Australian and New Zealand Standard Industrial Classification 1996 (ANZSIC96 V4.1). This industry classification has five levels. Level one is called division and is the least detailed (18 categories).;

A person's industry type in the seven days ending 4 March 2001 5 March 2006 and 3 March 2013.;

Caution is advised when using 'workplace address' at area unit and meshblock level where these occur in water based areas (such as inlets). Where respondents have not provided sufficient information to code accurately at meshblock level some responses have been coded to water based areas;

Workplace address is coded from information supplied by respondents about their workplaces. Where respondents do not supply sufficient information their responses are coded to 'not further defined'. The meshblock dataset excludes these not further defined areas.;

See definition of census usually resident population count"
